fighter,date,event,avg_kd,avg_sig_str_landed,avg_sig_str_att,avg_total_str_landed,avg_total_str_att,avg_td_landed,avg_td_att,avg_sub_att,avg_ctrl_seconds,avg_head_landed,avg_body_landed,avg_leg_landed,avg_distance_landed,avg_clinch_landed,avg_ground_landed,weight_class,result,style
Chan Sung Jung,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,1.0,17.0,35.0,19.0,37.0,0.0,1.0,0.0,5.0,16.0,1.0,0.0,12.0,2.0,3.0,Featherweight,L,Mixed
Bobby Moffett,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Yair Rodriguez,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,17.166666666666668,38.833333333333336,20.666666666666668,43.166666666666664,0.3333333333333333,1.0,0.16666666666666666,36.5,8.0,4.666666666666667,4.5,12.5,2.1666666666666665,2.5,Featherweight,W,Mixed
Germaine de Randamie,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.3333333333333333,15.333333333333334,37.0,18.666666666666668,40.333333333333336,0.0,0.3333333333333333,0.0,13.0,9.333333333333334,4.0,2.0,11.0,4.333333333333333,0.0,Women's Bantamweight,W,Mixed
John Gunther,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,8.0,13.0,40.0,49.0,5.0,8.0,0.0,270.0,5.0,1.0,2.0,3.0,3.0,2.0,Lightweight,L,Mixed
Luis Pena,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,1.0,8.0,23.0,8.0,23.0,1.0,1.0,1.0,62.0,8.0,0.0,0.0,8.0,0.0,0.0,Lightweight,L,Mixed
Chas Skelly,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,11.5,23.666666666666668,16.833333333333332,29.666666666666668,0.5,1.0,0.6666666666666666,96.5,9.333333333333334,2.0,0.16666666666666666,7.0,2.6666666666666665,1.8333333333333333,Featherweight,L,Mixed
Raquel Pennington,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,14.333333333333334,30.166666666666668,20.666666666666668,36.833333333333336,0.16666666666666666,1.3333333333333333,0.3333333333333333,27.833333333333332,9.0,3.8333333333333335,1.5,8.333333333333334,6.0,0.0,Women's Bantamweight,L,Mixed
Donald Cerrone,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.23076923076923078,16.53846153846154,33.84615384615385,20.384615384615383,38.30769230769231,0.46153846153846156,1.1538461538461537,0.38461538461538464,53.23076923076923,6.846153846153846,5.230769230769231,4.461538461538462,14.615384615384615,1.3076923076923077,0.6153846153846154,Welterweight,W,Mixed
Ashley Yoder,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,15.666666666666666,49.666666666666664,21.666666666666668,56.0,0.6666666666666666,0.6666666666666666,0.0,16.0,8.0,5.666666666666667,2.0,13.0,2.6666666666666665,0.0,Women's Strawweight,W,Mixed
Julian Erosa,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,17.0,34.0,31.5,50.0,0.5,0.5,0.5,87.5,3.5,11.5,2.0,10.5,6.5,0.0,Lightweight,L,Muay_Thai
Devonte Smith,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Joby Sanchez,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.3333333333333333,15.666666666666666,46.333333333333336,18.333333333333332,49.0,0.0,0.0,0.3333333333333333,14.666666666666666,10.0,5.0,0.6666666666666666,13.666666666666666,0.3333333333333333,1.6666666666666667,Bantamweight,L,Mixed
Mark De La Rosa,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,9.5,16.5,10.5,17.5,0.5,1.0,0.0,59.0,6.5,3.0,0.0,6.5,0.0,3.0,Bantamweight,W,Mixed
Thiago Moises,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Hannah Cifers,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,,,,,,,,,,,,,,,,Women's Strawweight,L,Mixed
Eric Shelton,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,14.25,26.75,28.5,42.25,1.25,1.75,0.0,34.5,11.25,2.5,0.5,7.5,0.5,6.25,Flyweight,W,Mixed
Maycee Barber,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,,,,,,,,,,,,,,,,Women's Strawweight,W,Mixed
Amanda Cooper,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.0,10.2,29.0,19.2,40.0,0.0,0.8,0.4,50.0,8.0,1.8,0.4,7.0,0.8,2.4,Women's Strawweight,L,Mixed
Mike Perry,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.5,19.75,43.875,23.0,47.25,0.125,0.25,0.0,28.25,11.25,3.25,5.25,14.125,2.375,3.25,Welterweight,L,Striker
Joseph Morales,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.5,7.0,16.0,9.0,19.0,0.0,0.5,0.5,30.5,7.0,0.0,0.0,0.5,0.5,6.0,Flyweight,L,Mixed
Beneil Dariush,2018-11-10,UFC Fight Night: Korean Zombie vs. Rodriguez,0.3333333333333333,23.555555555555557,47.111111111111114,26.333333333333332,50.0,0.2222222222222222,1.5555555555555556,0.1111111111111111,61.77777777777778,13.777777777777779,5.333333333333333,4.444444444444445,14.0,3.888888888888889,5.666666666666667,Lightweight,W,Striker
Neil Magny,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.09090909090909091,13.0,26.90909090909091,27.545454545454547,43.27272727272727,0.8181818181818182,2.272727272727273,0.09090909090909091,59.81818181818182,8.454545454545455,2.909090909090909,1.6363636363636365,5.454545454545454,3.0,4.545454545454546,Welterweight,L,Mixed
Santiago Ponzinibbio,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.375,19.75,45.125,20.625,46.0,0.125,0.5,0.0,13.0,15.125,1.5,3.125,17.25,1.375,1.125,Welterweight,W,Striker
Michel Prazeres,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,12.625,25.375,15.75,29.125,1.5,3.5,0.25,88.125,9.25,1.375,2.0,8.5,2.0,2.125,Welterweight,W,Mixed
Bartosz Fabinski,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,9.666666666666666,13.666666666666666,33.333333333333336,42.0,2.6666666666666665,3.3333333333333335,0.0,277.3333333333333,4.666666666666667,3.0,2.0,0.3333333333333333,4.0,5.333333333333333,Welterweight,L,Mixed
Devin Powell,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.3333333333333333,9.666666666666666,23.666666666666668,21.333333333333332,36.333333333333336,0.0,0.6666666666666666,0.0,5.0,2.3333333333333335,3.6666666666666665,3.6666666666666665,7.0,1.0,1.6666666666666667,Lightweight,L,Mixed
Jesus Pinedo,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Anderson Dos Santos,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Nad Narimani,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,12.0,26.0,16.0,33.0,2.0,4.0,0.0,184.0,7.0,3.0,2.0,5.0,0.0,7.0,Featherweight,W,Mixed
Yuta Sasaki,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,11.333333333333334,27.0,17.833333333333332,34.333333333333336,1.5,3.0,0.0,69.83333333333333,5.666666666666667,3.3333333333333335,2.3333333333333335,8.833333333333334,1.6666666666666667,0.8333333333333334,Flyweight,L,Mixed
Khalil Rountree Jr.,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.6666666666666666,10.0,28.833333333333332,13.0,32.166666666666664,0.0,0.0,0.16666666666666666,1.6666666666666667,7.833333333333333,1.8333333333333333,0.3333333333333333,6.666666666666667,1.5,1.8333333333333333,Light Heavyweight,L,Mixed
Hector Aldana,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,19.0,46.0,21.0,48.0,2.0,2.0,0.0,11.0,11.0,3.0,5.0,18.0,0.0,1.0,Welterweight,L,Mixed
Laureano Staropoli,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Alexandre Pantoja,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.25,23.0,47.75,34.75,59.75,0.0,0.0,0.5,107.0,12.5,4.75,5.75,18.0,2.5,2.5,Flyweight,W,Muay_Thai
Ricardo Lamas,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,17.428571428571427,33.142857142857146,19.571428571428573,35.285714285714285,0.5714285714285714,1.4285714285714286,0.0,56.0,8.0,3.5714285714285716,5.857142857142857,12.0,3.7142857142857144,1.7142857142857142,Featherweight,W,Muay_Thai
Cynthia Calvillo,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,16.75,46.75,24.0,54.25,0.75,1.0,1.25,91.75,9.5,4.5,2.75,13.5,0.25,3.0,Women's Strawweight,W,Mixed
Cezar Ferreira,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,9.125,20.875,11.75,23.625,0.75,1.25,0.125,69.75,4.375,2.375,2.375,7.75,0.125,1.25,Middleweight,L,Mixed
Darren Elkins,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,15.142857142857142,38.142857142857146,33.42857142857143,58.57142857142857,1.1428571428571428,2.7142857142857144,0.14285714285714285,88.42857142857143,10.571428571428571,3.857142857142857,0.7142857142857143,8.571428571428571,4.857142857142857,1.7142857142857142,Featherweight,L,Mixed
Guido Cannetti,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,13.333333333333334,24.666666666666668,19.0,31.0,0.6666666666666666,1.6666666666666667,0.0,93.0,7.0,4.666666666666667,1.6666666666666667,4.0,5.333333333333333,4.0,Bantamweight,L,Mixed
Marlon Vera,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,12.125,28.75,14.25,31.5,0.25,0.625,0.5,24.875,4.5,3.5,4.125,10.25,1.25,0.625,Bantamweight,W,Mixed
Johnny Walker,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Austin Arnett,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.0,11.5,35.0,13.0,37.0,0.0,1.0,0.0,18.5,10.0,1.5,0.0,11.0,0.5,0.0,Featherweight,W,Mixed
Poliana Botelho,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.5,19.0,28.0,29.0,39.5,0.0,0.0,0.0,26.5,16.5,1.0,1.5,3.0,13.0,3.0,Women's Strawweight,L,Muay_Thai
Ian Heinisch,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Humberto Bandenay,2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio,0.5,3.5,4.5,3.5,4.5,0.0,0.0,0.5,1.0,2.0,0.5,1.0,2.5,0.0,1.0,Featherweight,L,Mixed
Alistair Overeem,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.125,10.5,15.0,13.0,18.0,0.125,0.5,0.125,10.875,3.375,3.875,3.25,8.875,1.125,0.5,Heavyweight,W,Mixed
Sergei Pavlovich,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Kevin Holland,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,7.0,19.0,21.0,37.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,4.0,Middleweight,W,Mixed
John Phillips,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,L,Mixed
Louis Smolka,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,13.714285714285714,29.0,18.714285714285715,34.285714285714285,0.2857142857142857,1.1428571428571428,0.5714285714285714,82.57142857142857,11.142857142857142,2.4285714285714284,0.14285714285714285,4.0,0.7142857142857143,9.0,Bantamweight,W,Mixed
Sumudaerji,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Jessica Aguilar,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,24.666666666666668,47.666666666666664,33.0,57.333333333333336,0.3333333333333333,1.0,0.0,76.33333333333333,10.333333333333334,8.0,6.333333333333333,13.333333333333334,7.666666666666667,3.6666666666666665,Women's Strawweight,L,Muay_Thai
Zhang Weili,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,27.0,61.0,33.0,67.0,1.0,2.0,0.0,48.0,10.0,9.0,8.0,21.0,4.0,2.0,Women's Strawweight,W,Mixed
Syuri Kondo,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,19.5,44.5,20.0,45.0,0.0,0.0,0.0,0.0,13.5,4.0,2.0,15.5,4.0,0.0,Women's Strawweight,L,Mixed
Wu Yanan,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,10.0,16.0,18.0,26.0,1.0,2.0,0.0,127.0,2.0,6.0,2.0,3.0,6.0,1.0,Women's Flyweight,W,Muay_Thai
Martin Day,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Pingyuan Liu,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,7.0,16.0,19.0,28.0,1.0,1.0,0.0,66.0,4.0,3.0,0.0,4.0,3.0,0.0,Bantamweight,W,Mixed
Rashad Coulter,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,17.333333333333332,38.0,20.333333333333332,41.333333333333336,0.0,1.0,0.0,13.0,12.666666666666666,4.0,0.6666666666666666,11.666666666666666,5.666666666666667,0.0,Light Heavyweight,W,Mixed
Hu Yaozong,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,4.0,8.0,7.0,12.0,0.0,0.0,1.0,14.0,4.0,0.0,0.0,1.0,1.0,2.0,Light Heavyweight,L,Mixed
Vince Morales,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Curtis Blaydes,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.14285714285714285,16.0,36.0,35.57142857142857,60.714285714285715,2.7142857142857144,4.285714285714286,0.0,145.14285714285714,10.428571428571429,2.142857142857143,3.4285714285714284,6.142857142857143,4.428571428571429,5.428571428571429,Heavyweight,L,Mixed
Song Yadong,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.5,16.0,49.5,29.0,64.0,0.0,0.0,0.5,72.0,10.5,2.0,3.5,9.5,1.5,5.0,Bantamweight,W,Mixed
David Zawada,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,14.0,24.0,26.0,37.0,0.0,2.0,1.0,3.0,7.0,5.0,2.0,7.0,6.0,1.0,Welterweight,L,Muay_Thai
Francis Ngannou,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.25,8.375,21.625,11.375,25.125,0.0,0.0,0.125,17.25,6.625,0.875,0.875,5.25,1.375,1.75,Heavyweight,W,Mixed
Yan Xiaonan,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,26.0,69.0,29.0,72.0,0.0,0.0,0.0,1.0,19.5,3.0,3.5,20.5,5.5,0.0,Women's Strawweight,W,Muay_Thai
Lauren Mueller,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.0,26.0,57.0,27.0,58.0,0.0,0.0,0.0,29.0,11.0,11.0,4.0,26.0,0.0,0.0,Women's Flyweight,L,Sniper
Song Kenan,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.5,11.5,21.5,12.0,22.0,0.0,0.0,0.0,3.0,7.0,1.0,3.5,5.5,0.0,6.0,Welterweight,L,Mixed
Alex Morono,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.3333333333333333,12.333333333333334,40.166666666666664,17.666666666666668,46.0,0.0,0.0,0.16666666666666666,10.833333333333334,7.5,1.6666666666666667,3.1666666666666665,11.333333333333334,0.16666666666666666,0.8333333333333334,Welterweight,W,Mixed
Li Jingliang,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,0.25,17.25,36.375,18.25,37.375,0.375,0.75,0.0,13.0,9.5,1.75,6.0,13.625,0.75,2.875,Welterweight,W,Mixed
Raoni Barcelos,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,34.0,68.0,38.0,72.0,1.0,2.0,0.0,49.0,32.0,1.0,1.0,28.0,6.0,0.0,Bantamweight,W,Muay_Thai
Ricky Glenn,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.2,13.2,38.8,14.4,40.2,0.0,0.8,0.2,10.2,8.2,3.2,1.8,11.6,1.0,0.6,Featherweight,L,Mixed
Maurice Greene,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Heavyweight,W,Mixed
Juan Espino,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Ultimate Fighter 28 Heavyweight Tournament Title,W,Mixed
Justin Frazier,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Ultimate Fighter 28 Heavyweight Tournament Title,L,Mixed
Kevin Aguilar,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Bryan Caraway,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,7.666666666666667,25.666666666666668,30.666666666666668,52.333333333333336,0.3333333333333333,3.6666666666666665,0.0,84.33333333333333,6.333333333333333,1.0,0.3333333333333333,5.333333333333333,2.0,0.3333333333333333,Bantamweight,L,Mixed
Pedro Munhoz,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,22.142857142857142,55.285714285714285,22.428571428571427,55.57142857142857,0.14285714285714285,1.7142857142857142,0.42857142857142855,3.2857142857142856,11.142857142857142,4.0,7.0,20.142857142857142,2.0,0.0,Bantamweight,W,Sniper
Joseph Benavidez,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,20.2,50.8,23.8,54.6,0.6,1.8,0.0,60.2,10.2,5.0,5.0,15.8,3.4,1.0,Flyweight,W,Muay_Thai
Michel Batista,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Macy Chiasson,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Ultimate Fighter 28 Women's Featherweight Tournament Title,W,Mixed
Darren Stewart,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,12.166666666666666,29.0,17.166666666666668,35.166666666666664,1.0,1.8333333333333333,0.0,63.166666666666664,8.0,2.3333333333333335,1.8333333333333333,6.333333333333333,4.666666666666667,1.1666666666666667,Middleweight,L,Mixed
Chris Gutierrez,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Roosevelt Roberts,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Darrell Horcher,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,8.666666666666666,21.666666666666668,17.0,31.333333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,82.33333333333333,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,3.3333333333333335,2.3333333333333335,Lightweight,L,Mixed
Edmen Shahbazyan,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Ricky Rainey,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,11.0,29.0,11.0,29.0,0.0,1.0,0.0,2.0,3.0,4.0,4.0,9.0,2.0,0.0,Welterweight,L,Mixed
Kamaru Usman,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.125,14.875,29.125,25.75,41.25,1.375,3.5,0.0,162.875,8.25,3.25,3.375,7.125,2.625,5.125,Welterweight,W,Mixed
Rafael Dos Anjos,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,21.0,44.375,25.625,49.375,0.25,0.625,0.25,51.75,10.875,7.375,2.75,14.0,4.125,2.875,Welterweight,L,Muay_Thai
Pannie Kianzad,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Ultimate Fighter 28 Women's Featherweight Tournament Title,L,Mixed
Tim Means,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.2,20.3,48.2,27.9,56.8,0.1,0.3,0.0,28.0,11.6,6.4,2.3,16.2,3.1,1.0,Welterweight,W,Muay_Thai
Alex Perez,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.3333333333333333,37.333333333333336,76.0,44.666666666666664,83.66666666666667,0.6666666666666666,2.3333333333333335,0.6666666666666666,75.0,26.666666666666668,4.666666666666667,6.0,28.0,9.0,0.3333333333333333,Flyweight,L,Striker
Julija Stoliarenko,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Women's Featherweight,L,Mixed
Antonina Shevchenko,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Women's Flyweight,W,Mixed
Ji Yeon Kim,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,0.0,26.666666666666668,86.0,27.333333333333332,86.66666666666667,0.0,0.0,0.0,5.666666666666667,19.666666666666668,4.333333333333333,2.6666666666666665,24.666666666666668,2.0,0.0,Women's Flyweight,L,Sniper
Leah Letson,2018-11-30,The Ultimate Fighter: Heavy Hitters Finale,,,,,,,,,,,,,,,,Women's Featherweight,W,Mixed
Mauricio Rua,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.5,22.25,46.5,23.0,47.25,0.5,1.0,0.0,1.5,14.25,3.0,5.0,20.75,0.5,1.0,Light Heavyweight,W,Striker
Kai Kara-France,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Elias Garcia,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,13.0,38.0,32.0,57.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,12.0,1.0,0.0,Flyweight,L,Mixed
Tyson Pedro,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.4,11.2,18.8,18.0,26.2,0.4,1.4,0.6,86.0,6.2,2.2,2.8,6.0,2.8,2.4,Light Heavyweight,L,Mixed
Suman Mokhtarian,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Featherweight,L,Mixed
Anthony Rocco Martin,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,11.428571428571429,32.42857142857143,18.142857142857142,40.0,0.2857142857142857,1.5714285714285714,0.0,84.57142857142857,8.142857142857142,1.8571428571428572,1.4285714285714286,9.142857142857142,1.4285714285714286,0.8571428571428571,Welterweight,W,Mixed
Sodiq Yusuff,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Featherweight,W,Mixed
Mark Hunt,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.375,8.375,21.75,10.125,23.875,0.0,0.0,0.0,0.625,5.375,0.875,2.125,7.75,0.25,0.375,Heavyweight,L,Mixed
Justin Willis,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.6666666666666666,25.0,43.0,29.666666666666668,47.666666666666664,0.3333333333333333,0.3333333333333333,0.0,24.0,22.0,2.3333333333333335,0.6666666666666666,16.333333333333332,4.0,4.666666666666667,Heavyweight,W,Striker
Jimmy Crute,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Light Heavyweight,W,Mixed
Yushin Okami,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,2.0,3.0,5.0,6.5,0.5,2.5,0.5,125.0,2.0,0.0,0.0,0.0,0.0,2.0,Welterweight,L,Mixed
Aleksei Kunchenko,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,5.0,27.0,5.0,27.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,Welterweight,W,Mixed
Paul Craig,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,13.75,25.5,25.5,39.75,0.5,1.75,0.25,47.0,3.25,6.0,4.5,7.25,5.75,0.75,Light Heavyweight,L,Muay_Thai
Alex Gorgees,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Jake Matthews,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.125,12.125,29.875,16.5,35.375,0.5,1.75,0.125,79.0,8.625,1.25,2.25,6.75,1.5,3.875,Welterweight,L,Mixed
Keita Nakamura,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.16666666666666666,9.5,23.666666666666668,23.166666666666668,40.333333333333336,0.6666666666666666,1.0,0.0,103.0,7.333333333333333,1.5,0.6666666666666666,6.5,0.8333333333333334,2.1666666666666665,Welterweight,W,Mixed
Damir Ismagulov,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Salim Touahri,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,13.0,27.0,23.0,37.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,10.0,0.0,Welterweight,L,Muay_Thai
Mizuto Hirota,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,17.25,48.0,24.0,55.25,1.0,1.25,0.0,39.0,11.25,1.25,4.75,14.75,0.5,2.0,Lightweight,L,Mixed
Christos Giagos,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,13.0,37.333333333333336,21.666666666666668,46.333333333333336,0.3333333333333333,1.0,0.3333333333333333,74.66666666666667,10.666666666666666,1.6666666666666667,0.6666666666666666,6.0,1.3333333333333333,5.666666666666667,Lightweight,W,Mixed
Tai Tuivasa,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.6666666666666666,25.666666666666668,39.666666666666664,26.0,40.0,0.0,0.6666666666666666,0.0,59.666666666666664,19.0,4.666666666666667,2.0,18.0,7.0,0.6666666666666666,Heavyweight,L,Striker
Ben Nguyen,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.5,15.666666666666666,32.166666666666664,21.166666666666668,39.5,0.16666666666666666,0.5,0.6666666666666666,55.0,10.0,3.1666666666666665,2.5,9.666666666666666,3.6666666666666665,2.3333333333333335,Flyweight,L,Mixed
Wilson Reis,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,0.0,7.285714285714286,31.285714285714285,11.285714285714286,35.57142857142857,1.4285714285714286,3.857142857142857,0.14285714285714285,57.857142857142854,4.285714285714286,0.7142857142857143,2.2857142857142856,5.571428571428571,0.8571428571428571,0.8571428571428571,Flyweight,W,Mixed
